Machine_ID,Temperature,Run_Time,Downtime_Flag
212,91,129,No
213,66,217,No
214,92,61,No
215,99,104,No
216,98,42,No
217,77,25,No
218,99,39,No
219,60,291,No
220,70,131,No
221,87,229,No
222,84,108,No
223,82,172,No
224,90,102,Yes
225,89,12,No
226,94,275,No
227,66,101,No
228,75,44,No
229,85,17,No
230,61,57,No
231,60,12,No
232,71,80,Yes
233,64,216,No
234,96,264,No
235,91,149,No
236,68,81,No
237,94,215,Yes
238,78,198,No
239,75,200,Yes
240,62,25,Yes
241,79,89,Yes
242,83,268,Yes
243,92,143,Yes
244,83,59,No
245,70,26,No
246,67,47,No
247,95,288,No
248,97,266,No
249,99,16,Yes
250,79,199,No
251,94,282,No
252,84,86,Yes
253,94,250,No
254,84,270,No
255,88,117,No
256,77,7,Yes
257,77,137,No
258,61,176,No
259,94,215,Yes
260,75,82,No
261,95,223,No
262,92,103,No
263,63,273,No
264,92,14,No
265,73,159,No
266,80,152,No
267,79,108,Yes
268,67,188,No
269,66,98,No
270,62,131,No
271,76,293,Yes
272,92,171,No
273,71,183,No
274,81,39,No
275,81,15,No
276,89,4,Yes
277,97,210,No
278,97,161,No
279,67,16,Yes
280,86,108,No
281,86,227,No
282,93,170,No
283,80,34,No
284,89,251,No
285,92,247,No
286,87,269,No
287,92,141,No
288,64,274,Yes
289,78,96,No
290,63,227,No
291,94,39,No
292,76,29,No
293,87,245,No
294,89,236,No
295,88,185,Yes
296,65,272,No
297,94,236,No
298,96,239,No
299,83,266,No
300,88,65,No
301,90,177,No
302,94,3,No
303,92,142,No
304,80,158,No
305,91,146,Yes
306,82,293,No
307,92,153,No
308,62,193,No
309,77,73,Yes
310,84,140,Yes
311,90,187,No
312,62,293,Yes
313,99,61,No
314,83,198,No
315,91,295,No
316,81,11,Yes
317,82,62,No
318,61,226,Yes
319,86,153,Yes
320,61,199,No
321,85,52,No
322,76,260,No
323,99,59,No
324,92,72,No
325,68,148,No
326,98,63,No
327,88,243,No
328,85,107,Yes
329,94,226,No
330,84,218,Yes
331,83,241,No
332,72,259,No
333,66,262,No
334,95,5,No
335,79,261,No
336,60,54,Yes
337,67,47,No
338,75,215,No
339,73,177,No
340,71,9,Yes
341,82,99,No
342,74,20,No
343,87,241,No
344,93,61,No
345,61,178,No
346,91,62,No
347,82,145,No
348,81,216,Yes
349,84,3,No
350,81,160,Yes
351,81,227,No
352,65,269,No
353,74,120,No
354,96,89,No
355,92,68,Yes
356,67,98,Yes
357,64,267,No
358,98,105,No
359,63,123,Yes
360,65,29,No
361,91,137,No
362,89,195,No
363,94,226,No
364,99,170,No
365,75,9,No
366,72,40,No
367,89,25,No
368,78,261,No
369,76,226,No
370,78,124,No
371,87,38,No
372,85,251,Yes
373,96,176,No
374,85,90,No
375,82,37,Yes
376,68,176,No
377,71,284,No
378,60,81,No
379,60,114,No
380,93,40,No
381,91,224,Yes
382,84,115,No
383,99,186,No
384,60,56,No
385,75,40,No
386,98,40,No
387,64,237,No
388,81,289,No
389,88,262,No
390,62,216,No
391,71,147,Yes
392,85,168,Yes
393,75,92,No
394,96,59,Yes
395,81,59,No
396,88,169,No
397,73,269,No
398,87,45,No
399,64,181,No
400,89,170,No
401,64,191,Yes
402,71,155,No
403,75,188,No
404,85,7,No
405,85,133,No
406,80,235,No
407,98,45,No
408,95,249,No
409,92,31,Yes
410,89,23,No
411,96,160,Yes
412,82,158,Yes
413,69,39,Yes
414,64,82,No
415,95,258,No
416,93,206,No
417,90,77,No
418,69,12,No
419,78,295,Yes
420,91,224,No
421,60,13,No
422,64,46,No
423,63,155,No
424,75,113,Yes
425,83,233,No
426,75,17,No
427,61,223,No
428,87,188,Yes
429,91,163,No
430,86,74,No
431,79,233,Yes
432,83,224,No
433,71,60,No
434,94,222,No
435,92,37,No
436,92,278,No
437,96,196,No
438,71,242,No
439,62,219,Yes
440,60,192,No
441,92,17,No
442,99,12,No
443,69,193,No
444,88,22,Yes
445,72,120,No
446,71,210,No
447,90,270,No
448,61,192,No
449,94,175,No
450,82,285,Yes
451,76,204,No
452,85,164,Yes
453,67,251,Yes
454,88,227,No
455,85,7,No
456,69,29,No
457,85,33,No
458,93,134,No
459,66,79,No
460,63,58,No
461,70,26,Yes
462,88,226,No
463,95,285,No
464,84,4,No
465,80,99,No
466,95,39,No
467,69,271,No
468,96,285,No
469,68,157,No
470,83,75,No
471,94,288,No
472,94,130,Yes
473,95,175,Yes
474,77,84,No
475,98,22,No
476,91,27,No
477,83,195,No
478,82,236,Yes
479,91,92,No
480,96,21,No
481,71,84,No
482,72,262,No
483,82,147,No
484,84,257,No
485,94,58,No
486,89,15,Yes
487,76,162,No
488,79,163,Yes
489,84,281,No
490,81,280,Yes
491,72,12,No
492,78,274,Yes
493,95,271,No
494,71,208,No
495,78,27,Yes
496,71,72,Yes
497,68,60,No
498,66,145,No
499,87,93,No
500,73,8,No
501,90,79,Yes
502,78,27,No
503,75,174,No
504,64,50,No
505,94,199,No
506,71,181,No
507,84,24,No
508,80,46,Yes
509,95,15,No
510,82,153,No
511,75,222,No
512,98,206,Yes
513,98,273,Yes
514,73,236,No
515,90,228,No
516,64,9,No
517,94,166,No
518,82,214,Yes
519,88,117,No
520,70,72,No
521,77,64,No
522,71,205,Yes
523,68,209,No
524,69,72,Yes
525,76,277,No
526,97,274,Yes
527,66,95,No
528,72,166,No
529,99,32,No
530,68,11,No
531,86,217,No
532,61,289,No
533,64,102,No
534,88,267,No
535,96,214,No
536,97,179,No
537,78,88,No
538,67,41,No
539,60,76,No
540,81,46,Yes
541,76,160,Yes
542,66,80,No
543,84,86,Yes
544,63,92,No
545,95,148,No
546,65,161,No
547,90,202,Yes
548,78,242,No
549,98,2,No
550,86,225,No
551,69,289,Yes
552,85,233,No
553,78,77,No
554,98,116,No
555,62,154,No
556,72,103,No
557,87,194,No
558,79,166,No
559,87,90,No
560,67,174,No
561,98,122,No
562,60,143,No
563,62,106,No
564,72,123,No
565,87,9,No
566,84,262,No
567,92,73,No
568,97,223,No
569,65,41,No
570,91,204,No
571,80,264,Yes
572,75,178,No
573,80,84,Yes
574,70,111,No
575,96,251,Yes
576,95,7,No
577,94,84,Yes
578,78,208,No
579,79,22,No
580,77,3,Yes
581,73,127,No
582,74,297,Yes
583,90,188,Yes
584,60,14,No
585,62,12,No
586,75,87,No
587,82,12,No
588,70,25,No
589,71,243,Yes
590,69,122,No
591,91,147,No
592,75,55,No
593,67,238,No
594,97,173,No
595,71,221,No
596,83,119,No
597,87,183,No
598,67,288,No
599,87,82,No
600,95,211,Yes
601,85,150,Yes
602,67,37,No
603,87,59,No
604,87,131,No
605,96,202,No
606,95,243,No
607,86,35,No
608,76,93,No
609,68,207,No
610,92,213,No
611,79,159,No
612,72,24,No
613,87,293,No
614,88,4,No
615,72,220,Yes
616,94,20,No
617,65,152,No
618,77,50,No
619,64,177,No
620,84,96,No
621,61,105,No
622,69,250,No
623,89,117,Yes
624,64,228,No
625,92,66,No
626,60,262,No
627,77,295,No
628,91,243,No
629,70,186,No
630,80,246,No
631,85,125,Yes
632,84,268,No
633,81,131,Yes
634,86,237,No
635,72,18,No
636,92,40,Yes
637,93,21,No
638,94,225,No
639,60,282,No
640,80,8,No
641,65,100,No
642,87,240,No
643,76,87,No
644,64,298,No
645,90,14,No
646,64,2,No
647,97,293,No
648,62,41,Yes
649,82,111,No
650,96,14,No
651,96,231,Yes
652,69,84,No
653,69,130,No
654,78,231,No
655,76,145,No
656,80,28,No
657,73,66,Yes
658,68,163,No
659,60,229,No
660,72,261,No
661,63,164,No
662,60,287,No
663,99,10,No
664,91,195,No
665,93,118,No
666,87,270,No
667,90,80,No
668,67,93,No
669,98,266,No
670,85,257,Yes
671,93,133,Yes
672,62,276,Yes
673,71,264,Yes
674,60,171,No
675,64,1,No
676,89,64,No
677,89,284,No
678,76,121,No
679,82,107,No
680,74,175,No
681,96,204,No
682,80,165,No
683,73,120,Yes
684,61,44,No
685,70,156,No
686,98,207,No
687,97,108,No
688,93,251,No
689,97,130,No
690,93,293,Yes
691,77,20,No
692,89,282,No
693,74,285,No
694,86,1,Yes
695,93,119,No
696,97,35,No
697,92,198,No
698,83,245,No
699,74,59,No
700,89,161,No
701,76,179,No
702,64,206,No
703,88,12,Yes
704,63,276,No
705,69,181,Yes
706,76,242,No
707,69,216,Yes
708,76,251,No
709,79,299,No
710,83,126,No
711,64,217,Yes
712,93,285,No
713,65,185,Yes
714,61,39,No
715,72,223,No
716,70,184,No
717,82,178,No
718,75,294,No
719,90,151,Yes
720,70,126,No
721,75,234,No
722,67,8,No
723,63,129,Yes
724,99,264,No
725,63,157,No
726,84,5,No
727,62,86,No
728,91,175,No
729,62,290,Yes
730,86,193,Yes
731,88,119,No
732,91,218,No
733,78,114,No
734,80,145,No
735,64,26,Yes
736,77,136,Yes
737,87,232,No
738,81,76,No
739,80,289,No
740,65,1,No
741,60,147,No
742,64,287,Yes
743,71,142,No
744,85,53,Yes
745,93,69,No
746,73,90,No
747,85,220,No
748,86,192,No
749,68,63,No
750,85,73,No
751,81,161,No
752,89,169,Yes
753,76,89,No
754,85,176,Yes
755,95,269,Yes
756,60,73,No
757,67,245,No
758,94,77,No
759,74,159,No
760,81,98,No
761,73,102,Yes
762,85,132,No
763,87,102,No
764,82,19,No
765,73,82,No
766,83,279,No
767,61,129,Yes
768,85,89,No
769,73,213,No
770,66,143,No
771,62,65,No
772,82,76,No
773,77,199,Yes
774,97,143,No
775,94,93,No
776,74,224,Yes
777,84,291,No
778,96,102,No
779,87,267,No
780,69,110,No
781,98,265,No
782,76,3,No
783,98,85,No
784,81,282,No
785,85,117,No
786,84,221,Yes
787,76,154,No
788,72,153,No
789,79,12,No
790,84,133,Yes
791,63,293,No
792,69,228,No
793,62,271,No
794,77,43,No
795,95,21,Yes
796,81,107,No
797,93,117,No
798,67,124,Yes
799,99,281,No
800,78,292,No
801,96,203,Yes
802,65,51,No
803,85,271,No
804,93,277,No
805,65,141,Yes
806,96,275,No
807,92,290,No
808,81,52,No
809,80,27,No
810,65,157,No
811,65,239,No
812,63,156,No
813,89,291,No
814,70,136,No
815,89,144,No
816,90,106,No
817,83,158,No
818,68,146,No
819,62,2,No
820,90,77,No
821,99,132,No
822,96,90,No
823,95,263,No
824,83,108,No
825,90,74,Yes
826,65,39,Yes
827,61,159,No
828,79,71,No
829,87,241,No
830,70,298,No
831,63,36,No
832,74,84,Yes
833,65,263,No
834,89,172,No
835,97,173,No
836,61,47,No
837,74,141,No
838,70,118,Yes
839,67,277,No
840,85,214,No
841,64,220,No
842,65,26,No
843,85,9,No
844,63,271,No
845,78,10,No
846,79,121,No
847,92,125,No
848,79,170,No
849,71,72,No
850,60,152,No
851,85,208,Yes
852,73,49,Yes
853,97,154,Yes
854,96,293,No
855,70,68,No
856,95,50,Yes
857,72,152,Yes
858,62,19,No
859,92,100,No
860,65,60,No
861,69,167,No
862,64,202,No
863,82,146,Yes
864,69,164,No
865,61,242,No
866,72,69,No
867,99,175,No
868,61,49,Yes
869,79,108,No
870,60,226,No
871,96,161,No
872,68,119,No
873,76,149,No
874,68,150,Yes
875,70,293,Yes
876,74,143,No
877,83,160,No
878,97,11,Yes
879,94,138,No
880,89,78,No
881,90,77,No
882,64,254,Yes
883,73,258,No
884,70,291,No
885,68,263,No
886,93,85,No
887,71,146,No
888,94,42,No
889,94,125,Yes
890,60,167,No
891,99,241,Yes
892,81,280,No
893,88,188,No
894,67,19,No
895,70,68,No
896,96,218,Yes
897,73,102,No
898,89,42,No
899,94,288,No
900,80,167,Yes
901,96,109,No
902,64,36,No
903,78,232,No
904,73,229,No
905,85,164,No
906,63,73,No
907,84,136,No
908,84,70,No
909,77,196,No
910,99,269,No
911,67,49,No
912,98,130,No
913,99,5,Yes
914,73,27,No
915,91,160,No
916,97,149,No
917,92,264,Yes
918,82,230,No
919,74,200,No
920,92,50,No
921,84,67,No
922,76,58,No
923,92,259,Yes
924,61,130,Yes
925,73,215,No
926,99,172,No
927,99,258,No
928,98,102,No
929,65,209,No
930,65,291,No
931,62,286,No
932,66,116,No
933,67,264,Yes
934,74,150,No
935,88,36,No
936,92,287,Yes
937,89,208,No
938,98,106,No
939,86,158,No
940,95,121,No
941,88,55,No
942,97,12,No
943,92,145,No
944,96,136,No
945,86,3,No
946,92,144,Yes
947,63,30,Yes
948,81,237,No
949,61,279,No
950,69,115,No
951,64,104,No
952,69,118,Yes
953,92,5,No
954,97,248,No
955,72,121,Yes
956,90,286,No
957,95,149,Yes
958,83,84,No
959,74,231,No
960,88,288,No
961,67,161,No
962,64,272,No
963,88,38,No
964,63,226,Yes
965,71,142,No
966,61,292,No
967,86,151,No
968,90,114,No
969,95,237,Yes
970,95,66,No
971,85,258,No
972,86,249,Yes
973,64,180,No
974,79,190,Yes
975,70,154,No
976,69,196,No
977,99,262,No
978,97,143,No
979,65,101,No
980,67,244,No
981,82,12,No
982,85,239,No
983,71,49,No
984,85,42,Yes
985,72,166,No
986,99,82,No
987,77,291,Yes
988,84,158,No
989,92,216,No
990,99,158,Yes
991,71,134,No
992,95,67,No
993,63,7,No
994,64,14,Yes
995,96,73,Yes
996,67,163,No
997,87,66,No
998,90,130,No
999,68,206,No
1000,88,276,Yes
